/* DATA DESCRIPTION:
Citation:	Miller, Heinz; Schwager, Matthias (2000): Density of ice core ngt37C95.2 from the North Greenland Traverse. PANGAEA, https://doi.org/10.1594/PANGAEA.57798
Related to:	Schwager, Matthias (2000): Eisbohrkernuntersuchungen zur räumlichen und zeitlichen Variabilität von Temperatur und Niederschlagsrate im Spätholozän in Nordgrönland (Ice core analysis on the spatial and temporal variability of temperature and precipitation during the late Holocene in North Greenland). Berichte zur Polarforschung = Reports on Polar Research, 362, 136 pp, https://doi.org/10.2312/BzP_0362_2000
Project(s):	Glaciology @ AWI (AWI_Glac) (URI: http://www.awi.de/en/science/geosciences/glaciology.html)
	Climate in Historical Times (KIHZ) (URI: http://hdl.handle.net/10013/epic.38365.d001)
Coverage:	LATITUDE: 77.253300 * LONGITUDE: -49.216700
	DATE/TIME START: 1995-01-01T00:00:00 * DATE/TIME END: 1995-01-01T00:00:00
	MINIMUM DEPTH, ice/snow: 0.200 m * MAXIMUM DEPTH, ice/snow: 119.660 m
Event(s):	ngt37C95.2 (B26) * LATITUDE: 77.253300 * LONGITUDE: -49.216700 * DATE/TIME: 1995-01-01T00:00:00 * ELEVATION: 2598.0 m * Recovery: 119.7 m * LOCATION: Greenland * CAMPAIGN: NorthGreenlandTraverse * BASIS: Sampling/drilling from ice * DEVICE: Ice drill (ICEDRILL)
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Density, mass density [kg/m**3] (Density) * PI: Schwager, Matthias (matthias-schwager@gmx.de) * METHOD: Gamma-ray attenuation density (Wilhelms, 1996) (URI: hdl:10013/epic.13978)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	105990 data points
*/
Depth ice/snow [m]	Density [kg/m**3]
0.200	465.5
0.201	465.1
0.202	464.2
0.203	466.6
0.204	468.2
0.205	467.3
0.206	467.8
0.207	466.8
0.208	470.0
0.209	469.5
0.210	469.7
0.211	464.2
0.212	463.9
0.213	461.3
0.214	460.9
0.215	460.3
0.216	457.3
0.217	458.3
0.218	459.3
0.219	458.5
0.220	455.6
0.221	457.1
0.222	455.5
0.223	456.9
0.224	455.3
0.225	455.4
0.226	456.3
0.227	455.5
0.228	452.2
0.229	452.9
0.230	452.0
0.231	454.8
0.232	455.6
0.233	457.0
0.234	459.0
0.235	457.6
0.236	457.3
0.237	456.0
0.238	455.9
0.239	455.6
0.240	452.3
0.241	450.8
0.242	451.4
0.243	452.2
0.244	451.1
0.245	451.1
0.246	450.8
0.247	455.2
0.248	453.2
0.249	455.8
0.250	458.4
0.251	460.1
0.252	458.6
0.253	461.0
0.254	457.4
0.255	458.1
0.256	459.2
0.257	459.9
0.258	461.6
0.259	465.1
0.260	464.2
0.261	468.7
0.262	468.1
0.263	469.2
0.264	470.0
0.265	472.9
0.266	471.8
0.267	471.1
0.268	473.1
0.269	470.6
0.270	468.9
0.271	466.9
0.272	465.9
0.273	466.7
0.274	465.2
0.275	463.8
0.276	464.8
0.277	465.5
0.278	462.2
0.279	463.4
0.280	464.7
0.281	464.0
0.282	463.7
0.283	464.7
0.284	460.2
0.285	460.6
0.286	457.7
0.287	457.5
0.288	462.0
0.289	460.6
0.290	462.9
0.291	461.0
0.292	460.6
0.293	462.3
0.294	460.8
0.295	463.8
0.296	464.4
0.297	467.1
0.298	464.5
0.299	463.0
0.300	464.3
0.301	464.7
0.302	462.6
0.303	459.3
0.304	462.1
0.305	458.8
0.306	460.2
0.307	461.4
0.308	463.1
0.309	462.6
0.310	463.5
0.311	461.0
0.312	462.4
0.313	460.4
0.314	462.0
0.315	462.6
0.316	461.0
0.317	460.1
0.318	459.7
0.319	459.9
0.320	459.7
0.321	463.2
0.322	464.5
0.323	465.1
0.324	464.2
0.325	464.6
0.326	463.7
0.327	464.5
0.328	465.5
0.329	462.1
0.330	462.7
0.331	464.3
0.332	461.3
0.333	458.3
0.334	455.4
0.335	454.5
0.336	455.1
0.337	454.2
0.338	455.2
0.339	456.5
0.340	458.3
0.341	457.1
0.342	459.5
0.343	456.9
0.344	455.0
0.345	454.0
0.346	449.4
0.347	449.5
0.348	448.8
0.349	447.6
0.350	445.6
0.351	446.2
0.352	445.1
0.353	447.3
0.354	448.0
0.355	447.0
0.356	445.3
0.357	450.9
0.358	448.9
0.359	452.7
0.360	454.6
0.361	458.4
0.362	456.6
0.363	459.4
0.364	461.8
0.365	463.0
0.366	463.2
0.367	462.5
0.368	462.6
0.369	464.9
0.370	463.6
0.371	464.2
0.372	466.7
0.373	466.2
0.374	461.5
0.375	461.6
0.376	461.9
0.377	460.0
0.378	459.6
0.379	459.5
0.380	457.4
0.381	457.4
0.382	460.1
0.383	462.0
0.384	457.9
0.385	460.0
0.386	458.4
0.387	456.3
0.388	459.0
0.389	456.8
0.390	457.9
0.391	457.0
0.392	456.8
0.393	458.3
0.394	458.4
0.395	457.7
0.396	459.2
0.397	458.3
0.398	461.7
0.399	464.9
0.400	461.9
0.401	463.3
0.402	468.2
0.403	462.7
0.404	462.4
0.405	467.4
0.406	464.8
0.407	464.9
0.408	465.7
0.409	461.7
0.410	460.7
0.411	458.9
0.412	458.0
0.413	457.4
0.414	461.2
0.415	468.6
0.416	463.1
0.417	456.9
0.418	454.8
0.419	450.6
0.420	437.7
0.421	410.3
0.422	403.1
0.423	403.1
0.424	410.7
0.425	415.2
0.426	430.9
0.427	442.3
0.428	442.0
0.429	438.1
0.430	426.3
0.431	416.3
0.432	394.6
0.433	351.5
0.434	339.5
0.435	333.0
0.436	326.1
0.437	325.5
0.438	322.4
0.439	318.6
0.440	315.4
0.441	313.9
0.442	310.2
0.443	315.4
0.444	318.4
0.445	319.7
0.446	318.9
0.447	315.3
0.448	311.6
0.449	310.9
0.450	316.2
0.451	327.6
0.452	337.0
0.453	345.5
0.454	346.4
0.455	344.8
0.456	340.6
0.457	341.9
0.458	337.0
0.459	334.0
0.460	328.3
0.461	325.7
0.462	328.1
0.463	330.7
0.464	335.2
0.465	337.5
0.466	337.9
0.467	335.2
0.468	334.5
0.469	329.5
0.470	324.5
0.471	319.5
0.472	318.2
0.473	315.0
0.474	314.2
0.475	305.6
0.476	301.1
0.477	296.6
0.478	290.2
0.479	289.7
0.480	290.9
0.481	290.3
0.482	290.6
0.483	293.8
0.484	301.2
0.485	307.5
0.486	311.9
0.487	310.9
0.488	315.7
0.489	317.1
0.490	332.7
0.491	349.9
0.492	377.9
0.493	409.3
0.494	422.3
0.495	425.5
0.496	417.6
0.497	409.8
0.498	398.6
0.499	382.5
0.500	376.0
0.501	363.5
0.502	357.3
0.503	363.3
0.504	374.5
0.505	392.5
0.506	397.2
0.507	393.8
0.508	380.1
0.509	371.5
0.510	365.6
0.511	353.2
0.512	349.1
0.513	339.1
0.514	325.6
0.515	321.5
0.516	319.4
0.517	319.1
0.518	319.1
0.519	321.7
0.520	317.9
0.521	322.9
0.522	325.7
0.523	330.7
0.524	335.1
0.525	338.7
0.526	343.1
0.527	343.8
0.528	342.4
0.529	343.4
0.530	344.0
0.531	342.3
0.532	339.8
0.533	340.8
0.534	340.9
0.535	343.4
0.536	343.5
0.537	342.1
0.538	340.5
0.539	340.3
0.540	343.5
0.541	346.9
0.542	344.4
0.543	344.4
0.544	343.6
0.545	342.3
0.546	338.2
0.547	340.2
0.548	335.0
0.549	327.7
0.550	328.6
0.551	329.6
0.552	327.4
0.553	325.3
0.554	342.3
0.555	345.2
0.556	322.2
0.557	314.0
0.558	314.8
0.559	335.7
0.560	352.6
0.561	369.7
0.562	389.3
0.563	392.2
0.564	401.8
0.565	410.9
0.566	414.8
0.567	416.4
0.568	418.7
0.569	421.3
0.570	426.9
0.571	428.0
0.572	427.8
0.573	420.7
0.574	401.4
0.575	380.1
0.576	359.9
0.577	329.5
0.578	311.3
0.579	299.0
0.580	288.3
0.581	288.3
0.582	290.0
0.583	293.7
0.584	292.7
0.585	295.5
0.586	299.9
0.587	301.8
0.588	300.6
0.589	305.5
0.590	305.3
0.591	310.9
0.592	310.5
0.609	277.3
0.610	279.6
0.611	278.0
0.612	276.1
0.613	271.9
0.614	271.1
0.615	273.2
0.616	276.0
0.617	274.2
0.618	275.5
0.619	279.5
0.620	279.3
0.621	280.7
0.622	285.6
0.623	285.4
0.624	286.1
0.625	283.1
0.626	284.5
0.627	284.6
0.628	287.3
0.629	282.8
0.630	279.3
0.631	270.5
0.632	269.9
0.633	272.7
0.634	275.3
0.635	278.3
0.636	282.9
0.637	283.2
0.638	282.2
0.639	285.7
0.640	286.2
0.641	288.5
0.642	291.7
0.643	291.8
0.644	290.6
0.645	296.9
0.646	300.9
0.647	301.5
0.648	309.1
0.649	313.6
0.650	312.8
0.651	314.1
0.652	320.6
0.653	317.2
0.654	304.6
0.655	277.4
0.656	260.7
0.657	250.5
0.658	248.8
0.659	251.2
0.660	254.7
0.661	255.2
0.662	252.6
0.663	253.1
0.664	253.4
0.665	254.8
0.666	253.8
0.667	252.7
0.668	245.2
0.669	244.9
0.670	246.9
0.671	248.7
0.672	251.0
0.673	256.2
0.674	260.0
0.675	261.0
0.676	264.1
0.677	265.6
0.678	267.5
0.679	273.8
0.680	275.7
0.681	281.8
0.682	286.2
0.683	286.9
0.684	291.5
0.685	298.7
0.686	300.4
0.687	299.2
0.688	299.3
0.689	300.5
0.690	302.9
0.691	304.1
0.692	302.1
0.693	305.6
0.694	303.4
0.695	304.8
0.696	308.6
0.697	308.4
0.698	308.0
0.699	310.1
0.700	311.8
0.701	313.7
0.702	317.8
0.703	319.3
0.704	320.7
0.705	320.7
0.706	321.5
0.707	327.0
0.708	332.6
0.709	329.6
0.710	329.8
0.711	331.1
0.712	335.5
0.713	335.1
0.714	335.8
0.715	338.9
0.716	339.7
0.717	342.5
0.718	340.6
0.719	342.8
0.720	346.9
0.721	350.6
0.722	352.9
0.723	353.8
0.724	358.3
0.725	358.1
0.726	358.2
0.727	359.3
0.728	361.5
0.729	358.6
0.730	357.9
0.731	355.4
0.732	354.2
0.733	351.4
0.734	351.3
0.735	348.1
0.736	349.9
0.737	350.9
0.738	350.1
0.739	348.9
0.740	350.1
0.741	346.6
0.742	349.7
0.743	350.8
0.744	354.2
0.745	355.9
0.746	358.5
0.747	362.9
0.748	368.9
0.749	369.5
0.750	372.5
0.751	373.7
0.752	375.7
0.753	375.5
0.754	375.9
0.755	372.3
0.756	365.8
0.757	363.9
0.758	364.2
0.759	362.0
0.760	361.3
0.761	363.1
0.762	359.9
0.763	359.5
0.764	355.7
0.765	355.0
0.766	352.3
0.767	349.9
0.768	348.7
0.788	375.3
0.789	382.4
0.790	384.2
0.791	397.2
0.792	418.5
0.793	403.9
0.794	381.8
0.795	362.2
0.796	356.2
0.797	356.5
0.798	357.2
0.799	362.9
0.800	361.6
0.801	361.1
0.802	366.8
0.803	368.9
0.804	364.3
0.805	367.3
0.806	366.1
0.807	368.7
0.808	364.9
0.809	365.3
0.810	362.7
0.811	361.5
0.812	363.6
0.813	359.3
0.814	350.8
0.815	348.1
0.816	345.9
0.817	342.0
0.818	344.8
0.819	346.5
0.820	350.8
0.821	350.2
0.822	350.2
0.823	346.8
0.824	342.8
0.825	337.6
0.826	331.2
0.827	327.6
0.828	330.5
0.829	327.7
0.830	329.5
0.831	330.2
0.832	325.5
0.833	321.0
0.834	316.5
0.835	314.0
0.836	318.8
0.837	325.4
0.838	329.2
0.839	334.7
0.840	333.0
0.841	334.5
0.842	337.2
0.843	337.3
0.844	336.8
0.845	342.2
0.846	342.0
0.847	351.1
0.848	352.4
0.849	355.1
0.850	354.4
0.851	355.4
0.852	357.3
0.853	360.1
0.854	358.1
0.855	355.8
0.856	357.6
0.857	356.8
0.858	356.5
0.859	355.7
0.860	353.8
0.861	353.4
0.862	353.5
0.863	357.6
0.864	361.3
0.865	363.7
0.866	359.6
0.867	357.0
0.868	366.8
0.869	385.0
0.870	415.1
0.871	440.2
0.872	438.0
0.873	428.2
0.874	382.7
0.875	348.0
0.876	318.6
0.877	291.9
0.878	286.9
0.879	284.0
0.880	285.0
0.881	283.8
0.882	281.2
0.883	284.7
0.884	285.9
0.885	289.8
0.886	292.6
0.887	292.9
0.888	294.7
0.889	296.5
0.890	299.6
0.891	299.6
0.892	303.3
0.893	306.1
0.894	303.7
0.895	303.5
0.896	308.3
0.897	313.6
0.898	313.4
0.899	313.3
0.900	315.8
0.901	313.9
0.902	312.7
0.903	311.0
0.904	307.5
0.905	308.0
0.906	305.1
0.907	309.4
0.908	308.7
0.909	309.8
0.910	313.6
0.911	308.9
0.912	311.6
0.913	322.3
0.914	328.4
0.915	325.7
0.916	313.8
0.917	307.1
0.918	302.8
0.919	294.6
0.920	290.5
0.921	283.3
